#  ndepot: 13
#   ndump: 6
# npickup: 1000
#
# trash collection test problem
#
# type: 0:  vehicle
#       1:  dump
#       2:  pickup
#
# For vehicles:
#   demand - is vehicle capcity
#   x,y - vehicle home location
#   tw_open - start time for the vehicle
#   tw_close - time vechile must be home
#   service - NA
#
# For dump facilities:
#   demand - NA
#   x,y - location of the dump
#   tw_open - time dump opens
#   tw_close - time dump closes
#   service - time to service the dump
#
# For pickup locations
#   demand - potential load to add to vehicle
#   x,y - location of pickup
#   tw_open - earliest pickup time
#   tw_close - latest pickup time
#   service - time to service the pickup
#
# Times are in minutes from 0 hour (mid-night)
#
#nid    type    x       y       demand  tw_open tw_close        service
0 0 -50.8291395233748 -65.6821980425832 10000 0 1440 0
1 0 98.8992566785122 11.4046634354864 10000 0 1440 0
2 0 -68.4876977675081 95.7469019078388 10000 0 1440 0
3 0 -43.4198415099054 36.3668768283034 10000 0 1440 0
4 0 -12.9556019807914 67.4488995342017 10000 0 1440 0
5 0 62.2819356652677 -35.4995746184656 10000 0 1440 0
6 0 -98.9820722896205 -88.3292067632709 10000 0 1440 0
7 0 -0.70275420721444 -12.17961104701 10000 0 1440 0
8 0 -96.7899691370228 80.5751965612274 10000 0 1440 0
9 0 -15.2633614244316 32.5138275658915 10000 0 1440 0
10 0 47.8606047243183 -66.7983314392501 10000 0 1440 0
11 0 -56.6113805791879 87.057070244218 000001 0 1440 0
12 0 -96.5238531265236 -83.9116650054507 000001 0 1440 0
13 1 -27.9303361938027 -96.2419147796865 0 0 1440 30
14 1 42.1024161696188 -9.51463339727923 0 0 1440 30
15 1 82.1250195956615 86.3479568596048 0 0 1440 30
16 1 44.1969792832658 49.1878584781432 0 0 1440 30
17 1 9.37458784733494 32.0262868836053 0 0 1440 30
18 1 -11.6140611537581 -78.1730356282225 0 0 1440 30
19 2 -65.8471825683655 -66.49400701004 100 0 1440 5
20 2 -14.4825343279017 47.305094113085 100 0 1440 5
21 2 46.0814474591494 38.7363092671151 100 0 1440 5
22 2 69.5047440710574 -72.6111062957187 100 0 1440 5
