#  ndepot: 13
#   ndump: 4
# npickup: 500
#
# trash collection test problem
#
# type: 0:  vehicle
#       1:  dump
#       2:  pickup
#
# For vehicles:
#   demand - is vehicle capcity
#   x,y - vehicle home location
#   tw_open - start time for the vehicle
#   tw_close - time vechile must be home
#   service - NA
#
# For dump facilities:
#   demand - NA
#   x,y - location of the dump
#   tw_open - time dump opens
#   tw_close - time dump closes
#   service - time to service the dump
#
# For pickup locations
#   demand - potential load to add to vehicle
#   x,y - location of pickup
#   tw_open - earliest pickup time
#   tw_close - latest pickup time
#   service - time to service the pickup
#
# Times are in minutes from 0 hour (mid-night)
#
#nid    type    x       y       demand  tw_open tw_close        service
0 0 -9.66112630830978 5.96809542684582 5000 0 1440 0
1 0 -44.5955251732563 28.1867594638143 5000 0 1440 0
2 0 11.6686672694563 38.782817401804 5000 0 1440 0
3 0 17.0429820002646 -4.16833175457469 5000 0 1440 0
4 0 -85.780947377787 -40.1319738359689 5000 0 1440 0
5 0 -73.5135473278582 -69.7771061230966 5000 0 1440 0
6 0 99.8057510298146 -19.2006666049991 5000 0 1440 0
7 0 12.5963920873794 -15.8700892526909 5000 0 1440 0
8 0 -60.8150940445164 -35.7992215782303 5000 0 1440 0
9 0 1.5287601051476 -36.560514088886 5000 0 1440 0
10 0 92.6144810527866 68.8311585786408 5000 0 1440 0
11 0 56.2190347888922 -91.6020320764531 5000 0 1440 0
12 0 -9.7168971929527 -91.669349593883 5000 0 1440 0
13 1 56.3572267725441 98.278657048202 0 0 1440 30
14 1 -37.7922785163172 6.55928792554334 0 0 1440 30
15 1 6.51368157629051 92.098282181756 0 0 1440 30
16 1 -66.2688423405363 92.5548420110488 0 0 1440 30
17 2 -38.2900395854882 73.7874020769723 100 0 1440 5
18 2 55.9038303724641 33.9489546948442 100 0 1440 5
19 2 -86.9162651861252 -92.639796037254 100 0 1440 5
20 2 30.1622893424856 87.527336587641 100 0 1440 5
21 2 -31.7134709587812 99.7625039587732 100 0 1440 5
22 2 39.7971602860004 -19.0522530270954 100 0 1440 5
23 2 -80.582640571243 17.9605732625063 100 0 1440 5
24 2 -91.6636784218205 -84.9913429581363 100 0 1440 5
25 2 -66.2020863217414 92.3505344473838 100 0 1440 5
26 2 -25.6178751006665 -21.0127403243547 100 0 1440 5
27 2 88.5249486262687 68.7263058539017 100 0 1440 5
28 2 76.4858145441117 -56.7418533483874 100 0 1440 5
29 2 -52.0928757409401 31.976231478923 100 0 1440 5
30 2 -31.205447730931 -22.3911613470676 100 0 1440 5
31 2 43.6455974789048 30.6424314736987 100 0 1440 5
32 2 -7.43182059227294 37.4557374936046 100 0 1440 5
33 2 41.6144337423951 -25.1446431525991 100 0 1440 5
34 2 79.9606079920217 63.7292860356382 100 0 1440 5
35 2 87.627320716927 -18.5431562594502 100 0 1440 5
36 2 0.0460902850427658 -91.1395181292391 100 0 1440 5
37 2 -70.4447519668896 97.980950181541 100 0 1440 5
38 2 -76.0798660477597 -12.4922915339965 100 0 1440 5
39 2 67.1248135487524 78.3308340695598 100 0 1440 5
40 2 2.42007057678464 65.9834346307036 100 0 1440 5
41 2 -73.1573082157958 -87.645292261503 100 0 1440 5
42 2 48.8178108595356 61.4700023519248 100 0 1440 5
43 2 81.5476168392529 62.0922943490584 100 0 1440 5
44 2 -2.41130686491076 86.8727867659913 100 0 1440 5
45 2 -93.4989473416216 40.3680270300882 100 0 1440 5
46 2 82.5321152826383 -81.5072172142067 100 0 1440 5
47 2 1.73061047408893 21.9062856452055 100 0 1440 5
48 2 -77.7866037861024 -96.3205368132833 100 0 1440 5
49 2 19.2002891271862 -79.3799292028197 100 0 1440 5
50 2 12.6386043801098 89.443875268509 100 0 1440 5
51 2 59.587821238204 -55.3145172999464 100 0 1440 5
52 2 66.6164796561652 18.9917100560933 100 0 1440 5
53 2 83.9158693859041 77.0930163478354 100 0 1440 5
54 2 82.3806240321325 -7.27819812070436 100 0 1440 5
55 2 97.5495940366038 -24.6791835113086 100 0 1440 5
56 2 12.3424082710137 57.9975095796556 100 0 1440 5
57 2 76.3022714622501 -30.5125312251434 100 0 1440 5
58 2 93.547098576304 -84.3679939680584 100 0 1440 5
59 2 25.372237785546 -78.1795503989045 100 0 1440 5
60 2 17.3641118539486 1.35397263869663 100 0 1440 5
61 2 -9.01746290292422 -72.3461709316481 100 0 1440 5
62 2 -4.36637714944013 -88.5171275419083 100 0 1440 5
63 2 21.9483198022651 -46.2969682856865 100 0 1440 5
64 2 28.0175338032684 40.7131721585699 100 0 1440 5
65 2 -65.3796655248449 65.4382206389428 100 0 1440 5
66 2 -89.6103602536492 36.4799115582144 100 0 1440 5
67 2 41.0348450213569 62.4989949206039 100 0 1440 5
68 2 32.0992427857909 52.1741926024788 100 0 1440 5
69 2 18.5550473841964 -32.105609732757 100 0 1440 5
70 2 -8.16895102480188 6.94178976087017 100 0 1440 5
71 2 32.3556188659488 79.9714611771591 100 0 1440 5
72 2 84.1634844050198 -7.49851651862059 100 0 1440 5
73 2 62.9444708802019 -49.3041880047699 100 0 1440 5
74 2 -45.9758447482464 -29.9427999690948 100 0 1440 5
75 2 -26.6768448982198 82.6761466430341 100 0 1440 5
76 2 31.9066123248781 88.769917270622 100 0 1440 5
77 2 98.7737560372999 1.71503497513896 100 0 1440 5
78 2 -87.576573403512 50.3468791671963 100 0 1440 5
79 2 -78.3354474976825 50.7374601689079 100 0 1440 5
80 2 -48.3715991978663 -85.8327353760444 100 0 1440 5
81 2 -40.2466911398257 -67.8798712085026 100 0 1440 5
82 2 -20.7279040388663 59.1903910305717 100 0 1440 5
83 2 45.5248266530297 94.2258057053024 100 0 1440 5
84 2 -38.8886969193599 -78.9948877244797 100 0 1440 5
85 2 93.0424109372176 -12.0291077280669 100 0 1440 5
86 2 29.5512018800061 36.2226073425319 100 0 1440 5
87 2 -34.8397542770506 12.2789108948822 100 0 1440 5
88 2 19.8602826005192 -63.4404384795459 100 0 1440 5
89 2 85.8993919125304 3.18030430237428 100 0 1440 5
90 2 11.1892263503286 -70.8998698046031 100 0 1440 5
91 2 -50.876718468357 8.11781661446247 100 0 1440 5
92 2 -50.5025935245889 -81.8166423352636 100 0 1440 5
93 2 -95.2267536451053 -89.1604923377301 100 0 1440 5
94 2 -88.2789493553126 -87.9167870854957 100 0 1440 5
95 2 -52.1201502602828 47.3659747323481 100 0 1440 5
96 2 11.2069531909135 -88.7985866651036 100 0 1440 5
97 2 74.015650101844 72.2874293954547 100 0 1440 5
98 2 13.3115122587391 -5.92595158691722 100 0 1440 5
99 2 -80.911424509015 17.5877138466305 100 0 1440 5
100 2 -37.5216510226601 56.4220010382087 100 0 1440 5
101 2 -16.6936063430434 31.9389537322834 100 0 1440 5
102 2 -30.9645913027019 73.1976066804265 100 0 1440 5
103 2 1.31088333441696 -76.279854729934 100 0 1440 5
104 2 -18.0041901900829 53.6662028640023 100 0 1440 5
105 2 6.04931271849622 -39.23162392134 100 0 1440 5
106 2 -84.4676436980727 57.7065155439954 100 0 1440 5
107 2 26.7097727540026 37.0803940271614 100 0 1440 5
108 2 -0.624871510449765 -96.4614822832914 100 0 1440 5
109 2 -64.5901415824746 12.4776790875856 100 0 1440 5
110 2 -99.3685251768419 91.9367913460661 100 0 1440 5
111 2 28.3342031346471 4.88785212909164 100 0 1440 5
112 2 -4.450391242721 21.7318389712716 100 0 1440 5
113 2 0.329512343616756 83.7619843288522 100 0 1440 5
114 2 -50.7325690595358 -98.763461324441 100 0 1440 5
115 2 -6.12492550777191 22.7489638920744 100 0 1440 5
116 2 -50.0412891044498 -51.5196720584527 100 0 1440 5
117 2 10.7663139362863 43.7173455725045 100 0 1440 5
118 2 -83.0140635668862 1.23505079566542 100 0 1440 5
119 2 -54.6821472040627 74.3098655648268 100 0 1440 5
120 2 -97.7054642305681 60.3440210523161 100 0 1440 5
121 2 -0.425169679724746 -22.6811377983026 100 0 1440 5
122 2 87.5633592050271 4.51505490790112 100 0 1440 5
123 2 82.7059512110331 -49.709985969271 100 0 1440 5
124 2 69.4128367608933 -67.6706788944671 100 0 1440 5
125 2 77.8529611628038 -25.9700962294275 100 0 1440 5
126 2 59.7416678667607 -98.3038411067895 100 0 1440 5
127 2 20.2680410901273 73.36775185032 100 0 1440 5
128 2 -87.8831884507228 95.4198355314418 100 0 1440 5
129 2 -98.7529663690772 84.9860492227791 100 0 1440 5
130 2 37.8064930777477 -5.86713132925354 100 0 1440 5
131 2 64.4515290411327 75.8965684097504 100 0 1440 5
132 2 81.8734881910878 87.9123370151774 100 0 1440 5
133 2 -43.3792949729117 70.8301567862648 100 0 1440 5
134 2 -8.28734864808425 -88.124142185049 100 0 1440 5
135 2 35.9434988999958 4.18862944081724 100 0 1440 5
136 2 94.1240824522204 -91.477065610519 100 0 1440 5
137 2 21.6572531810833 67.1577930599611 100 0 1440 5
